title,desc,year,genre,certificate,runtime,rating,votes
Kôkaku kidôtai 2.0,A hacker known as the Puppet Master is hunted by a female cyborg cop and her partner. This film is a revised version of Kôkaku Kidôtai (1995).,2008,"Animation, Action, Crime",UA,83 min,7.9,"14,715"
Evangelion Shin Gekijôban: Kyu,"14 years have passed since the near third impact. Most of the world has changed except Shinji Ikari who awakens, unaged in a new and strange environment. Misato has formed a group that is ...                See full summary »",2012,"Animation, Action, Drama",Not Rated,96 min,6.9,"16,167"
"Dr. Katz, Professional Therapist","A therapist struggles with problems of his patients, while dealing with the ones in his personal life.",1995–2002,"Animation, Comedy",,30 min,7.6,"5,724"
The Magic School Bus Rides Again,Ms. Frizzle and her class along with an inventive high-tech bus that invites children on high-flying hijinks that introduce the incredible world of science.,2017–2021,"Animation, Adventure, Family",,26 min,6.3,858
Voltron: Defender of the Universe,This series focuses on five lion robots and their pilots as they fight the evil forces of King Zarkon and Prince Lotor.,1984–1985,"Animation, Family, Sci-Fi",,24 min,7.9,"4,884"
Kyokou Suiri,"Meet the cute, smug, cane-wielding 17-year old Iwanaga Kotoko as she (very) aggressively tries to woo the older Sakuragawa Kurou and act as a mediator/problem-solver for the supernatural world.",2020– ,"Animation, Action, Comedy",,24 min,6.5,"1,025"
Cow and Chicken,The program focuses on the misadventures of two unlikely yet somehow biological siblings: Cow and Chicken.,1997–1999,"Animation, Adventure, Comedy",,30 min,6.6,"20,665"
Checkered Ninja,A possessed Ninja doll teams up with a teenage boy to avenge the murder of a poor child factory worker.,2018,"Animation, Action, Adventure",,83 min,7.2,"5,678"
Kono sekai no katasumi ni,"Set in Hiroshima during World War II, an eighteen-year-old girl gets married and now has to prepare food for her family despite the rationing and lack of supplies. As she struggles with the...                See full summary »",2016,"Animation, Drama, Family",U,129 min,7.8,"11,374"
Gleipnir,"Shuichi Kagaya is a high school student with an ability to transform into a monster costume. But when he rescues a fellow classmate, she forces him into a partnership to hunt down other monsters.",2020,"Animation, Action, Fantasy",,24 min,6.8,"1,503"
Little Bill,"A smart, inquisitive five year old boy called ""Little Bill"" explores what life is like with the help of his big imagination.",1999–2004,"Animation, Family",,30 min,6.4,"2,296"
Strike the Blood,"The Fourth Primogenitor-That's the world's strongest vampire that should only exist in legends. Accompanied by twelve Kenjuu and spreading calamity, this phantom vampire appeared in Japan. ...                See full summary »",2013– ,"Animation, Action, Comedy",,24 min,7.0,"1,719"
The Pebble and the Penguin,A lovable but introverted penguin named Hubie plans to present his betrothal pebble to the bird of his dreams.,1995,"Animation, Adventure, Comedy",U,74 min,5.5,"5,214"
Megami-ryou no Ryoubo-kun.,"Nagumo Koushi. His house burned down on his birthday. His father has never had a job and a single dollar behind him. At the age of 12, he becomes homeless. Having wondered around the city ...                See full summary »",2021– ,"Animation, Comedy, Romance",A,25 min,6.1,580
Zootopia 2: Rise of the Non-Mammalians,Add a Plot,2024,Animation,,,,
Eiga Kono subarashii sekai ni shukufuku o!: Kurenai densetsu,"Kazuma's party is suddenly alerted by an outrageous letter delivered by Yunyun. The letter requested that they come to the Crimson Demon Clan's village, that is facing a threat that could mean it's ending.",2019,"Animation, Action, Adventure",,90 min,7.9,"4,228"
Evangerion shin gekijôban: Ha,"Under constant attack by Angels, NERV introduces two new pilots: the mysterious Makinami Mari Illustrous and the intense Asuka Langley Shikinami. Parallel to the incursion, Gendo Ikari and ...                See full summary »",2009,"Animation, Action, Drama",U,112 min,7.9,"22,367"
Otomege Sekai wa Mob ni Kibishii Sekai Desu,A young man is transported into a video game world dominated by females.,2022– ,"Animation, Comedy, Fantasy",Not Rated,,7.2,884
Akagami no Shirayuki-hime,"Shirayuki was a young girl born with unique apple-red hair. She meets a famous but foolish Prince Raji, who falls in love with her at first sight and orders her to become his concubine. ...                See full summary »",2015–2016,"Animation, Drama, Fantasy",,24 min,7.7,"3,103"
Deathstroke Knights & Dragons: The Movie,Assassin Slade Wilson leads two lives: a relentless killer known as Deathstroke and a family man. Can he atone for the sins of the past-or will his family pay the ultimate price?,2020,"Animation, Action, Adventure",R,87 min,6.3,"3,773"
Rocky and His Friends,"Rocky, a plucky flying squirrel and Bullwinkle, a bumbling but lovable moose, have a series of ongoing adventures.",1959–1963,"Animation, Comedy, Family",,30 min,7.8,"4,250"
Robotech,An alien spaceship crash lands on Earth and the technology and secrets she bears lead Earth into three destructive interplanetary wars.,1985,"Animation, Action, Adventure",,30 min,8.5,"3,748"
Steven Universe: The Movie,"Steven thinks his time defending the Earth is over, but when a new threat comes to Beach City, Steven faces his biggest challenge yet.",2019,"Animation, Action, Adventure",,82 min,7.7,"7,611"
Yojo Senki: Saga of Tanya the Evil,"A girl with blond hair, blue eyes, and porcelain skin fights on the front lines of a brutal war and climbs the ranks of the imperial army.",2017– ,"Animation, Action, Adventure",,24 min,7.6,"3,519"
Minuscule: La vallée des fourmis perdues,"Somewhere in the forest, a stranded ladybug joins forces with a squad of black ants to retrieve a tin box of delicious sugar cubes to the hive. A battalion of fierce red ants has already set their sights on the loot. Who shall prevail?",2013,"Animation, Action, Adventure",,89 min,7.1,"8,569"
"Kimi to, nami ni noretara",A surfer and firefighter meet and fall in love.,2019,"Animation, Comedy, Drama",,95 min,6.8,"3,290"
Moana,Moana and her friends continue to explore the South Pacific in this musical animated series.,,"Animation, Adventure, Comedy",,,,
Double Dutchess: Seeing Double,"All of the high-wire action, tearful drama, sexy romance, and dark humor that defines the Double Dutchess.",2017,"Animation, Drama, Fantasy",,63 min,5.3,660
Mia and Me: The Hero of Centopia,"Mia discovers her magic stone is part of an ancient prophecy and embarks on a thrilling journey to the farthest islands of Centopia to face a great evil, and shape her own destiny.",2022,"Animation, Adventure, Family",PG,85 min,5.7,491
Drifters,"Various historical fighters are summoned from across time to wage war on each other, with the fate of the world in the balance.",2016– ,"Animation, Action, Adventure",,24 min,7.6,"3,403"
The Tick,"An invulnerable, somewhat dim, superhero protects The City from all manner of evil-doers.",1994–1997,"Animation, Action, Adventure",,30 min,7.8,"9,782"
Rock Dog 3 Battle the Beat,"When the young performers on a music contest show admit they have never heard of Angus Scattergood, Bodi is compelled to join the show to restore the Rock Legend's good name.",2022,"Animation, Adventure, Comedy",,90 min,8.5,22
"Tarzoon, la honte de la jungle","Shame, the ape man of the jungle, sets off to rescue his woman, June, when a gang of giant penises kidnaps her.",1975,"Adventure, Animation, Comedy",,85 min,5.0,"1,283"
Uncle Grandpa,The misadventures of a magical uncle and grandpa to everyone in the world and his friends.,2010–2017,"Animation, Comedy, Family",UA,15 min,4.3,"6,510"
Jigokuraku,A squad of prisoners and their guards are sent to investigate a mysterious island. They get stranded there and must rely on each other to survive the island's mysterious and monstrous residents.,2023– ,"Animation, Action, Adventure",,24 min,,
Yu-Gi-Oh! GX,"A semi-spinoff of the popular Yu-Gi-Oh anime series, focusing on a boy named Jaden and his misadventures as a student at an esteemed Duel Monsters academy.",2004–2008,"Animation, Action, Adventure",,30 min,6.8,"4,818"
Sangatsu no Lion,"A 17 year old socially awkward orphaned shogi player, dealing with adult problems like financial difficulties, loneliness, and depression.",2016–2018,"Animation, Comedy, Drama",,25 min,8.3,"2,932"
Futha Mucka,"Ryan helps take care of Sam, but when a minor mishap causes Sam to become Ryan's primary caregiver, things get weird.",,"Animation, Short",,,,
Open Season 3,Boog's friends rally to bring him home from a Russian traveling circus.,2010,"Animation, Adventure, Comedy",PG,75 min,5.0,"12,056"
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,"Now that Kaguya and Miyuki have shared their first kiss, the time has come for them to truly understand each other and admit their feelings.",2022,"Animation, Comedy, Romance",,90 min,8.8,39
Camp Lazlo!,"Bean Scout Lazlo, a fun-loving, free-spirited monkey, and his two bunkmates Raj and Clam, wreak havoc on a very structured summer camp.",2005–2008,"Animation, Adventure, Comedy",,30 min,6.4,"10,142"
Kick Buttowski: Suburban Daredevil,A satirical look at an 8-year-old boy who aspires to be the most hardcore daredevil in existence.,2010–2012,"Animation, Action, Adventure",,23 min,6.6,"5,383"
Madan no Ou to Vanadis,"Tigre, a young noble, is captured by a beautiful female general from an enemy country. Though enchanting, her curves aren't the only dangerous thing about her. She's backed by an army of desirable warrior-goddesses called the Vanadis!",2014,"Animation, Adventure, Fantasy",,25 min,7.0,"1,297"
Gekijôban Hunter x Hunter: The Last Mission,"The strongest Hunters that once existed in the Hunter Association were split into ""light"" and ""dark"", and each walked down their respective paths. The ""dark"" side begins moving in order to ...                See full summary »",2013,"Animation, Action, Adventure",,97 min,6.6,"2,443"
The Oblongs...,The misadventures of a goofy family deformed by toxic waste.,2001–2002,"Animation, Comedy, Sci-Fi",,284 min,7.1,"9,290"
Shinka No Mi: Shiranai Uchi ni Kachigumi Jinsei,A fat schoolkid is thrown into a fantasy world and must team up with a female gorilla to survive.,2021– ,"Animation, Adventure, Comedy",,,6.2,741
Mahha GoGoGo,"Teenager Gô Mifune aspires to be the world's best race-car champion with the help of his friends, family and his father's high-tech race-car, the Mach 5.",1967–1968,"Animation, Action, Adventure",,30 min,7.2,"3,056"
Happily N'Ever After,"An alliance of evil-doers, led by Frieda, looks to take over Fairy Tale Land. But when Ella realizes her stepmother is out to ruin her storybook existence, she takes a dramatic turn and blossoms into the leader of the resistance effort.",2006,"Animation, Adventure, Comedy",PG,75 min,4.5,"10,807"
Shiki,"When many deaths occur in the quiet village of Sotoba, Doctor Toshio Ozaki initially suspects an epidemic but soon becomes convinced that something else is causing them.",2010–2011,"Animation, Drama, Horror",,24 min,7.6,"3,530"
Gojira tai Hedora,"An ever evolving alien life-form from the Dark Gaseous Nebula arrives to consume rampant pollution. Spewing mists of sulfuric acid and corrosive sludge, neither humanity or Godzilla may be able to defeat this toxic menace.",1971,"Animation, Action, Family",PG,85 min,6.0,"5,862"
Justice League vs. the Fatal Five,"The Justice League battles the Fatal Five, (Tharok, Emerald Empress, Validus, Mano and the Persuader). Based on the characters created by Jim Shooter.",2019,"Animation, Action, Fantasy",PG-13,77 min,6.5,"9,584"
Back to the Future,"The time travelling adventures of Doc Brown, his family, and his friend, Marty McFly.",1991–1993,"Animation, Adventure, Family",,23 min,6.3,"1,643"
Witchblade,"In order to protect her daughter, a young single mother is forced to fight after acquiring a powerful ancient weapon.",2006,"Animation, Action, Adventure",,,7.0,"1,488"
Schoolhouse Rock!,"A series of shorts illustrating various songs that teach multiplication tables, grammar, science, American history, computers, economics, and environmentalism.",1973–2009,"Animation, Short, Family",,3 min,8.2,"4,048"
Metegol,A young man named Amadeo sets off on an unexpected adventure with the players of his beloved Foosball game.,2013,"Animation, Adventure, Comedy",PG,106 min,6.4,"9,822"
Puffin Rock,"Puffin Rock follows the adventures of Oona, her little brother Baba, and their family and friends on a gorgeous and wild Irish island.",2015–2016,"Animation, Family",,7 min,8.7,953
Gangureivu,Gungrave follows the story of best friends Brandon Heat and Harry MacDowell as they join and rise in the ranks of Big Daddy's Millenion crime syndicate. The story begins in the future ...                See full summary »,2003–2004,"Animation, Action, Crime",,25 min,7.9,"4,998"
Skylanders Academy,"""Skylanders Academy"" follows the heroic adventures of Spyro, Eruptor, Stealth Elf, Jet-Vac and Pop Fizz as they travel the vast Skylands universe, protecting it from evil-doers.",2016–2018,"Animation, Action, Adventure",,25 min,6.7,819
Sammy's avonturen: De geheime doorgang,"A sea turtle, who was hatched in 1959, spends the next fifty years travelling the world, while it is being changed by global warming.",2010,"Animation, Adventure, Family",PG,88 min,6.0,"7,627"
Ooops! Noah Is Gone...,"It's the end of the world. A flood is coming. Luckily for Dave and his son Finny, a couple of clumsy Nestrians, an Ark has been built to save all animals. But as it turns out, Nestrians ...                See full summary »",2015,"Animation, Adventure, Comedy",G,87 min,5.8,"4,823"
Superbook,A group of kids and a robot learn lessons from the Bible with the help of a time-traveling book.,2011– ,"Animation, Adventure, Family",,22 min,6.4,299
Transformers: Rescue Bots,The Rescue Bots are Transformers that work with a family of heroes to rescue humans from disasters. These non-violent Transformer stories were aimed at pre-school viewers.,2011–2016,"Animation, Short, Action",,20 min,6.6,970
Sonic Underground,"Sonic and his royal siblings seek to find their mother and defeat the tyrant, Robotnik.",1999–2000,"Animation, Short, Action",,30 min,6.2,"3,026"
Alvin & the Chipmunks,"Three chipmunk brothers, Alvin, Simon, and Theodore. The trio have been adopted by and are living with Dave (human). Each show finds the boys getting into trouble and new and unusual situations.",1983–1990,"Animation, Adventure, Comedy",,30 min,6.6,"3,222"
Dogs in Space,"In the not-so-distant future, Earth's scientists send a fleet of genetically enhanced dogs to explore the galaxy in search of a new planet to call home.",2021– ,"Animation, Action, Adventure",7,18 min,7.2,763
The Legend of Zelda,"Based on the popular Nintendo game of the same name. Link and Princess Zelda protect the mystical artifact, the Triforce of Wisdom, from falling into the hands of the evil sorcerer Ganon.",1989,"Animation, Action, Adventure",,15 min,6.0,"1,850"
Bravest Warriors,Four teenage heroes-for-hire warp through the universe to save adorable aliens and their worlds using the power of their emotions.,2012–2018,"Animation, Action, Adventure",,5 min,8.1,"3,526"
Happily Ever After,Snow White and her new friends must rescue the Prince when he is captured by the Wicked Queen's vengeful brother.,1989,"Animation, Family, Fantasy",,75 min,5.5,"2,457"
Superjail!,"In a surreal world, a large maximum security prison, which houses thousands of dangerous inmates is run by an eccentric warden and his equally odd staff.",2007–2014,"Animation, Comedy, Crime",,10 min,7.7,"7,437"
The Misty Green Sky,"A young girl in another solar system asks an innocent question that sets off a chain reaction of adventure, destruction and tragedy.",2016,"Animation, Action, Adventure",,81 min,1.8,204
Onii-chan Dakedo Ai Sae Areba Kankei Nai yo ne-,"After 6 years of living apart due to the death of their parents, the Himenokoji twins, Akito and Akiko, are finally reunited when Akito desires to live as a family once more. Although ...                See full summary »",2012,Animation,,25 min,5.9,287
Dragon Age: Dawn of the Seeker,"In the land of Orlais, where battles are fought with swords and magic, a young heroine rises as templars, mages, and dragons clash. Cassandra, a brash and beautiful Seeker, must stop a ...                See full summary »",2012,"Animation, Action, Adventure",,90 min,5.7,"3,001"
Genjitsu-shugi-yûsha no ôkoku-saiken-ki,"O, Hero! When Kazuya Souma is unexpectedly transported to another world, he knows the people expect a hero. But Souma's idea of heroism is more practical than most, he wants to rebuild the ...                See full summary »",2021– ,"Animation, Action, Comedy",,24 min,7.2,"1,504"
The Wild Thornberrys Movie,"Eliza (Lacey Chabert) and Debbie (Danielle Harris) are two sisters who don't always get along. But their relationship is put to the test when Debbie's life is in danger, and Eliza might have to give up her power to talk to animals.",2002,"Animation, Adventure, Comedy",PG,85 min,5.6,"14,872"
"Gubbai, Don Gurîzu!","During an unusual summer vacation in Iceland, the DonGlees boys discover a treasure.",2021,"Animation, Adventure, Drama",PG,95 min,6.8,199
The Magic Roundabout,"A group of friends embark on a dangerous journey in an effort to imprison their oppressor, the evil wizard Zeebad.",2005,"Animation, Adventure, Comedy",,85 min,5.2,"3,483"
Green Lantern: The Animated Series,The further adventures of Hal Jordan and his comrades of the Green Lantern Corps.,2011–2013,"Animation, Action, Adventure",,25 min,8.0,"7,021"
ID:Invaded,A detective is called upon to solve a murder in a virtual reality world. But how can he manage a case when its rules can and are constantly being changed?,2020,"Animation, Crime, Drama",,24 min,7.6,"2,829"
Space Chimps,Three chimps are sent into space to explore the possibility of alien life when an unmanned space shuttle crash lands on an uncharted planet.,2008,"Animation, Adventure, Comedy",,81 min,4.5,"11,955"
Dragon Ball Z Abridged,Dragon Ball Z Abridged is a direct parody with most characters and plot lines remaining relatively unchanged.,2008–2018,"Animation, Action, Comedy",,10 min,9.2,"1,086"
Mushishi Zoku Shou,"They existed long before anyone can remember. They are simple and strange in nature, not resembling any other plant or animal in this world. In ancient times, people revered these bizarre ...                See full summary »",2014–2015,"Animation, Drama, Fantasy",,24 min,8.8,"2,912"
Little Witch Academia,"Akko enrolls at the Luna Nova Witchcraft Academy. She's not the best student, but her bright attitude is the key to her and her friends' success.",2017,"Animation, Comedy, Family",,25 min,7.8,"3,458"
Xiaolin Showdown,A young Xiaolin monk named Omi with a giant yellow head leads a trio of other students to collect powerful items known as Shen Gong Wu while battling the evil Jack Spicer who is also after the artifacts,2003–2006,"Animation, Action, Adventure",,30 min,7.5,"7,443"
The SpongeBob SquarePants Movie Rehydrated,"In the fan reanimation of the 2004 classic, SpongeBob SquarePants and Patrick Star are in for the adventure of a lifetime when they have to go on a journey to save King Neptune's stolen crown.",2022,"Animation, Adventure, Comedy",,87 min,8.3,136
Unicorn: Warriors Eternal,"The series follows a team of ancient heroes protecting the world from an ominous force. Throughout history, unicorns have symbolized the virtuous, appearing to ensure that goodness reigns. ...                See full summary »",2022– ,"Animation, Action, Adventure",,,,
Freezing,Earth in the near future has become threatened by other dimensional beings called the NOVA. The only way to defeat these creatures has turned out to be by using genetically altered girls (...                See full summary »,2011,"Animation, Action, Drama",,24 min,6.8,"1,633"
Wan pisu firumu: sutorongu warudo,"Straw Hat Pirates must save their navigator and stop the legendary Pirate, Shiki the Golden Lion from conquering East Blue.",2009,"Animation, Action, Adventure",,113 min,7.5,"5,967"
Rupan sansei: Part II,"The master thief Lupin III and his cronies continue their globe-trotting exploits, with the stubborn Inspector Zenigata ever at their trail.",1977–1980,"Animation, Action, Adventure",,30 min,8.0,"1,823"
Sora no otoshimono,"Girl-crazy Tomoki's quiet life gets turned upside down when beautiful, winged Ikaros falls from the sky -- and starts calling him master.",2009–2010,"Animation, Action, Comedy",,,7.2,"1,920"
Kureopatora,"In order to foil the enemy aliens' ""Cleopatra Plan"", three people from the future are spiritually sent back to Cleopatra's time to understand the enemy intentions.",1970,"Animation, Adventure, Comedy",,112 min,6.1,703
Bungou Stray Dogs: Dead Apple,The Armed Detective Agency investigates a bizarre series of suicides involving an eerie mist.,2018,"Animation, Action, Mystery",,92 min,7.3,"1,708"
Mirai shônen Konan,"Long after a devastating war almost destroyed the entire world, a boy with superhuman strength fights to save his friends from those who seek to conquer what is left of civilization.",1978,"Animation, Adventure, Comedy",,24 min,8.8,"4,472"
Spirit Rangers,"Follows Native American sibling trio Kodiak, Summer and Eddy Skycedar, who have a shared secret-they're ""Spirit Rangers!""",2022– ,"Animation, Action, Adventure",UA 7+,22 min,8.6,115
Ever After High,"The students of all the fairytale characters attend Ever After High, where they are either Royals (students who want to follow in their parent's footsteps) or Rebels (students who wish to write their own destiny).",2013–2017,"Animation, Adventure, Comedy",,25 min,7.7,"1,286"
Angels of Death,The story follows a band of Blood Angels Space Marines as they face a dangerous and insidious foe.,2021– ,"Animation, Sci-Fi",,,7.6,484
The Monkey King,"After the Dragon King steals his staff, the Monkey King sets off on a mission to get it back. But his greatest enemy proves to be his own pride.",III,"Animation, Action, Adventure",,,,
Oswald,"A story of a blue octopus and his dog that looks like a hotdog, named Weenie, and their friends like Daisy the daisy, and Henry the penguin. They go on adventures in their town that usually...                See full summary »",2001–2003,"Animation, Family, Musical",,30 min,7.6,"1,875"
Kakkou no Iinazuke,"Two children who got swapped at birth grow up to become engaged to each other. It's an arrangement neither of them like, at first.",2022,"Animation, Comedy, Romance",Not Rated,,6.7,689
Wonder Woman: Bloodlines,"Wonder Woman tries to help a troubled young girl, Vanessa, who has fallen in with a deadly organization known as Villainy Inc. headed by Dr. Cyber.",2019,"Animation, Action, Fantasy",PG-13,83 min,5.9,"7,411"
Blame!,"In the distant future, humans are declared ""illegal residents"" and hunted to near extinction by murderous robots. One day, a group of human scavengers come across a strange man named Killy, who may be the key to humanity's survival.",2017,"Animation, Action, Drama",,106 min,6.6,"8,339"
Son of Zorn,"Animation and live action collide when a cartoon Barbarian dad leaves his war-torn village to re-connect with his moody, non-animated teenage son in suburbia.",2016–2017,"Animation, Comedy, Fantasy",,30 min,6.8,"4,733"
Constantine: City of Demons,An animated series centering on the adventures of supernatural detective John Constantine.,2018–2019,"Animation, Short, Action",R,6 min,7.5,"6,431"
Altered Carbon: Resleeved,"On the planet Latimer, reawakened Takeshi Kovacs must protect a teenage tattooist named Holly while investigating the death of a yakuza boss alongside Gina, a strangely familiar no-nonsense CTAC agent.",2020,"Animation, Action, Crime",,74 min,6.5,"6,370"
Spicy City,An anthology of sexy and risque animated stories in a futuristic city with a seamy side.,1997,"Animation, Adventure, Crime",,,6.6,646
Nisekoi,"The heir to a Yakuza Family is forced to be in a relationship with the daughter of the head of a gangster family to avoid a gang war, much to their chagrin.",2014–2016,"Animation, Comedy, Romance",,25 min,7.3,"3,666"
Avatar: Rise of Kyoshi Visual Novel,"A fan-made adaption of F.C. Yee's novel of the same name, which explores the early life of Avatar Kyoshi, 400 years before the events of Avatar: The Last Airbender.",2021– ,"Animation, Fantasy",,,8.9,39
Les maîtres du temps,"Piel, a 7 or 8 year old boy, is alone on the desert planet Perdide, only survivor of an attack by giant hornets. Calling for help, Piel's father's friend Jaffar keeps contact with the kid and hurries across space toward Perdide.",1982,"Animation, Adventure, Sci-Fi",,78 min,7.3,"5,653"
Citrus,Fashionable Yuzu’s life goes from sweet to sour when the beautiful but stern Mei falls into her life.,2018,"Animation, Drama, Romance",,24 min,6.5,"2,325"
Star Wars: Detours,A comedic look at some of our favorite characters' more mundane moments during the reign of the Empire.,,"Animation, Adventure, Comedy",,,,
Cider no yô ni kotoba ga wakiagaru,"A meeting and romance starts between two people with communication issues - a boy who wears headphones and uses haiku poems, and a girl who wears a mask and only does online videos.",2020,"Animation, Drama, Music",,87 min,6.8,"4,249"
Masamune-kun No Revenge,"As a child, Masamune Makabe once suffered greatly at the hands of a wealthy and beautiful girl named Aki Adagaki, who nicknamed him ""Piggy"" due to his chubby appearance. Seeking revenge ...                See full summary »",2017– ,"Animation, Comedy, Drama",,24 min,6.4,"2,581"
"Go, Dog. Go!","Young pup Tag Barker and her adventures in Pawston, a colorful community of dogs on the go.",2021– ,"Animation, Family",U,24 min,7.2,226
He-Man and the Masters of the Universe,"On the planet Eternia, a young prince gains the ability to become a powerful warrior to defend Castle Grayskull against the dark lord Skeletor.",2002–2004,"Animation, Action, Adventure",,30 min,7.5,"3,385"
Mad Monster Party?,"On the Isle of Evil, the head of the ""World Organization of Monsters"" reveals his imminent retirement and that he has refined a formula for total destruction, only to be upset when the monsters try to steal the formula and kill his nephew.",1967,"Animation, Comedy, Family",,94 min,6.6,"3,342"
The Road Runner Show,"A scheming coyote, constantly at odds with a swift and clever roadrunner bird, uses various gadgets and devices to try and catch his longtime rival.",1966–1973,"Animation, Family, Comedy",,30 min,7.9,"11,744"
Timon & Pumbaa,The further misadventures of the lovable warthog Pumbaa and his meerkat buddy Timon from The Lion King (1994).,1995–1999,"Animation, Adventure, Comedy",,22 min,7.0,"10,436"
Orange,A high school student receives a letter from her future self who wants to fix her past mistakes.,2016,"Animation, Drama, Romance",,24 min,7.6,"3,842"
Kemeko derakkusu!,"6-year old Sanpeita Kobayashi got engaged to his childhood friend, a mysterious pink-haired girl who promised they would meet again 10 years later, and she would become his bride. The series begins then.",2008,"Animation, Action, Comedy",,24 min,6.3,68
Arknights: Reimei Zensou,"In the land of Terra, natural disasters of unknown causes have been occurring irregularly in many areas. Therefore, the majority of the people, in order to escape those natural disasters, ...                See full summary »",2022– ,"Animation, Action, Adventure",,,6.4,146
Santiago of the Seas,"Join Santiago, an 8-year-old pirate, and his crew as they embarks on rescues, uncover hidden treasures and keeps the Caribbean high seas safe. The show is infused with Spanish language and Latino-Caribbean culture and curriculum.",2020– ,"Animation, Short, Action",,30 min,6.8,144
Ghostbusters,A squad of supernatural investigators are Earth's only defense against an evil ghost wizard and his minions.,1986–1987,"Animation, Adventure, Comedy",,25 min,6.3,"3,022"
Fairfax,Animated series centering on four middle school friends on their quest for fame on L.A.'s Fairfax Avenue.,2021– ,"Animation, Adventure, Comedy",,30 min,5.3,999
"Ada Twist, Scientist","Ada Twist, a young scientist who will explore helping people through scientific discovery, collaboration and friendship.",2021– ,"Animation, Short, Adventure",All,12 min,7.2,196
Koori Zokusei Danshi to Cool na Douryou Joshi,"Himuro is an office worker who belongs to a race of supernatural beings with strange powers. Whenever he is deep in concentration, he subconsciously plunges his poor coworkers into a close ...                See full summary »",2023– ,"Animation, Comedy, Fantasy",,,8.3,38
Shaman Kingu,"SHAMAN KING follows the adventures of a 13-year-old shaman and his teammate a samurai warrior spirit, who traverse the world fighting evil spirits and misguided shamans on their journey to be the next Shaman King.",2001–2005,"Animation, Action, Adventure",,23 min,8.0,"6,086"
Gekijô-ban Sôdo Âto Onrain: Sword Art Online - Ôdinaru sukêru -,"Kirito uncovers a conspiracy within Ordinal Scale, a popular AR game developed for a new system called The Augma.",2017,"Animation, Action, Adventure",,119 min,7.3,"8,311"
Ex-Arm,"In 2014, Akira dies in an accident. 16 years later a policewoman and her android partner retrieve an advanced AI called EX-ARM. Turns out the AI is actually Akira's brain.",2021– ,"Animation, Action, Crime",,24 min,1.7,810
Happy Tree Friends,A series of horrible sudden deaths keep happening to a group of creatures caused by themselves doing the most stupid things.,2000–2016,"Animation, Comedy, Horror",,74 min,7.0,"17,616"
Muppet Babies,"The Muppets, as babies, have adventures with their imaginations inside their nursery.",1984–1991,"Animation, Adventure, Comedy",,25 min,7.5,"5,241"
To aru kagaku no rêrugan,"In Toaru Kagaku no Railgun T Mikoto Misaka and her friends prepare for the Daihasei Festival, a seven-day sports competition between different Esper schools, which, of course, also include ...                See full summary »",2009– ,"Animation, Action, Comedy",,24 min,7.5,"1,614"
Underdog,The adventures of a rhyming canine superhero.,1964–1973,"Animation, Action, Adventure",,30 min,7.2,"2,478"
Ai no utagoe o kikasete,The story of a new transfer student interested in her surroundings and a song that brings happiness to her and her classmates.,2021,"Animation, Drama, Music",,109 min,7.2,515
Vampire in the Garden,"In the divided world of the future, two girls want to do the forbidden: the human wants to play the violin, and the vampire wants to see a wider world.",2022,"Animation, Action, Adventure",UA 16+,25 min,6.7,"1,316"
Tsuki ga michibiku isekai-dôchû,"The series tells the story of normal kid Makoto Misumi who, after being transported to a fantasy world to serve as its hero, is cut loose when the world's unnamed goddess decides he doesn't measure up to her standards of beauty.",2021– ,"Animation, Action, Adventure",,23 min,7.6,"1,588"
Zoboomafoo,Chris and Martin Kratt bring their enthusiasm for animals to the pre-school set.,1999–2001,"Animation, Comedy, Family",,29 min,7.6,"3,321"
The Adventures of Mark Twain,"Tom Sawyer, Becky Thatcher and Huck Finn join Mark Twain on his airship to meet Halley's Comet.",1985,"Animation, Adventure, Family",U,86 min,7.2,"3,085"
Shin seiki Evangelion Gekijô-ban: Shito shinsei,"A recap of the first 24 episodes of Neon Genesis Evangelion, followed by a 30-minute continuation of the plot that would later form the first third of The End of Evangelion.",1997,"Animation, Action, Drama",UA,101 min,7.3,"14,560"
SWAT Kats: The Radical Squadron,"In a world of anthropomorphic felines, two demoted fighter pilots battle evil as high flying masked vigilantes.",1993–1995,"Animation, Action, Family",,22 min,8.4,"4,487"
Mo Dao Zu Shi,Wei Wu Xian and Lan Wang Ji meet during a magical training and start working together to solve many mysteries.,2018–2021,"Animation, Action, Adventure",Not Rated,24 min,8.5,"1,817"
Miru Tights,Short anime about high school girls who love tights.,2019,"Animation, Short",,4 min,5.9,278
Code Geass: Fukkatsu No Lelouch,"The story takes place several years after Lelouch's ""Zero Requiem"" plan.",2019,"Animation, Action, Adventure",Not Rated,112 min,7.3,"2,925"
Hotarubi no mori e,"Hotaru is rescued by a spirit when she gets lost in a forest as a child. The two become friends, despite the spirit revealing that he will disappear if he is ever touched by a human.",2011,"Animation, Drama, Fantasy",,45 min,7.8,"18,945"
Hanyô no Yashahime,"An adventure following Sesshomaru's half-demon twin daughters, Towa and Setsuna, as they discover the mysteries of their past along with Moroha, the daughter of Inuyasha and Kagome.",2020– ,"Animation, Action, Adventure",16,,7.2,"1,074"
